gene	sd_tracerx_renal
RELN	2.031478910819132
POF1B	2.03058971480587
TFPI2	2.027146903634028
GPNMB	2.0213634217279743
HLA-G	2.0140180008621975
SULT1C4	2.0129822959978823
NCAM1	2.0122881117262943
RNF186	2.0113621156570263
FRZB	2.008633379499434
RGS5	2.0084188768833777
SPTBN2	2.0078446535904515
TRHDE	2.0064857485888234
TUBB3	2.0043990412751844
TMEM174	2.002843950103932
KRT17	2.0025665205932865
TINAG	1.9991935771012168
DES	1.9961306596728188
MTTP	1.9956495052605547
B4GALNT1	1.9953396200342866
HNRNPA1P10	1.9940933879519325
CXCL9	1.9932232012147426
CYSLTR2	1.993155663950365
GPR143	1.9922574342413544
COL22A1	1.9912244422137508
C8orf22	1.988208929350527
ALDH8A1	1.9871476385196556
EIF3CL	1.9842868212627922
PDK4	1.982556418974797
COL23A1	1.9801555799502062
CAPN6	1.9756520830019852
IGDCC4	1.9755790262345965
S100A1	1.9754497866215623
H19	1.9746337335477584
PRAP1	1.974212414176217
CLIC6	1.9718350530988749
LAD1	1.970634918501432
SFRP1	1.9696572934069083
AKR1C1	1.965767700771369
C1QL1	1.9656708046262152
UGT2A3	1.9649728464816134
UGT1A10	1.9630532949135187
SIM1	1.958397641679388
SLC9A3	1.9570104158459667
FTCD	1.9556039618380483
CLEC18B	1.9529274027848595
MCHR1	1.9527235181249651
GRIK3	1.952589171941388
LINC00462	1.9503439002779515
KCNJ15	1.9500803632985388
SLC22A11	1.9500262140417852
ASPG	1.9499808664158946
ANXA13	1.9477354299090943
COL7A1	1.9458543207945163
POSTN	1.9449654769597873
SLC5A10	1.9435515267976282
CCL20	1.942737889743461
ACP5	1.9420681173688592
THBS2	1.9412527129011066
FMO2	1.940144566250641
AEBP1	1.9399028114634362
UPB1	1.9360362013753991
CDHR2	1.9360360935228513
SMIM24	1.932308576340757
UNC5D	1.9295054317699138
ALDH1A2	1.9292524905575414
C7orf55-LUC7L2	1.9206640515917757
LOX	1.9171305729278003
GFRA1	1.9160814233307744
NAPSA	1.9141736615986473
PRKY	1.9131541067395037
EPPK1	1.912382024625543
CLEC18A	1.9093971117754913
GSTT1	1.9084470990693783
SLC47A1	1.9080204822087423
GLYATL1	1.9074012821919464
HAPLN1	1.9065804877397448
RGPD2	1.9064566421242477
MASP1	1.9064038439880076
HAO2	1.9062211846777342
IL6	1.9051659131683087
DSP	1.9028988498599289
UBD	1.901565047138845
MMP9	1.899472477188335
SAA2	1.8990326303071403
CXCL10	1.8973639635165154
GABRB3	1.8961003389680926
C6orf223	1.8951368301597105
ANGPTL4	1.8946293712623514
NTRK2	1.894589074523151
CCDC146	1.8918408726464715
ALPL	1.8896901618175876
FCAMR	1.8885219227553873
MUM1L1	1.8870226917172304
MARCO	1.886904831543116
B3GNT3	1.8856214708014352
ZMAT4	1.8852792307627055
FCGBP	1.8849605351029948
FLRT3	1.8836654793061067
MAL	1.8824814712382
ANGPTL3	1.8803865697766278
MME	1.875290255908865
TXLNGY	1.8752314515794242
KHK	1.8748663473539293
HPD	1.8747829883317548
TMEM130	1.8744635863313208
C1orf95	1.8736961803497139
CYS1	1.872690982526758
CYP17A1	1.8693283969670242
DCAF12L1	1.8634156990823962
LOC389332	1.8616965013472673
ESM1	1.861065530373456
PTPRH	1.8592921492007768
HBB	1.8591960268246253
PKLR	1.8567639169448948
COMMD3-BMI1	1.8552162897735902
AQP9	1.854867273015866
CDHR1	1.8547501008922065
MAGED4B	1.8523383334296954
EPHA7	1.8469586028566376
CYP1B1	1.8458755458132314
CTSK	1.844439227812089
EGFR-AS1	1.84333083871535
RBP5	1.8403381278476834
MGARP	1.8396740767380626
AQP1	1.8343961866281033
RYR2	1.8341876216076463
NKAIN4	1.8334796201825263
SEMA5B	1.8322511646037545
PCSK6	1.831107236887159
COL6A3	1.8273810564738173
LAMC3	1.824888754668847
ENPP2	1.8205288969972295
SLC16A9	1.8202139123964374
FAM151A	1.8193629889266285
TNFAIP6	1.817473922451337
MYH14	1.8172506196743714
DNER	1.8172268502516995
C1QTNF3	1.817172154105271
PLA2G12B	1.8160652235067907
CA12	1.8156960818041397
ADIRF	1.8155273365413365
MT3	1.8148223018986087
SLC17A1	1.8125550724139337
KCNK3	1.8108196080821868
FABP4	1.810059078886742
ERBB3	1.8087491469063628
OGDHL	1.807632141613125
H3F3A	1.8073486457192642
GPRC5A	1.8065846840343722
ATRNL1	1.8065536345476074
CNTNAP5	1.806404334662405
COL3A1	1.8043495790801747
LAMB3	1.8037258143361814
F5	1.803534822259279
GPD1	1.8020757063891237
PLSCR3	1.8017356472812212
C5orf46	1.8017125075095826
AKR1C2	1.8003857970587651
GFPT2	1.8000098615400324
ABCB1	1.7980063800817816
PRODH	1.7974090924761232
MYOC	1.7967898739996577
GALNT5	1.795654981005072
AMN	1.7953502713223088
SLC27A2	1.7953331261788081
CDH1	1.7951728547893666
DEFB1	1.7950958953225153
GGT3P	1.7938936894362605
TENM3	1.7934365733318771
IRX6	1.7917071923013541
SLC3A1	1.789044095447064
PCOLCE2	1.788585352159118
CYP4F3	1.7885515854940905
SCG2	1.7860192449668741
MT1E	1.7857854233008956
LINC00671	1.784784245731547
BTNL9	1.7841085624476696
LPPR5	1.7836410058627319
FREM2	1.7836387712181492
MYH11	1.7821057720556857
LGALS2	1.7809405788314976
DPYS	1.7794129993614576
CD70	1.7784089185040395
GZMK	1.7778762352302033
LINC01234	1.7758576652500533
TSKU	1.7750496361116246
MTRNR2L2	1.774962819270882
SERPINA6	1.7742236872802393
UGT2B7	1.7739633063489022
LOC389602	1.7727276579198656
CXCL6	1.7723380961250148
CYP4F11	1.772286024480991
NEGR1	1.7683765784185288
CES1	1.7664345396575758
SERPINE1	1.7663492431291823
PKP1	1.7658449046706781
ELFN2	1.765598876221147
KLHL4	1.7653973749226588
GPM6A	1.7637716270583528
MFI2	1.763226426729736
FREM1	1.7623275948676143
GJB2	1.7615957004652678
MLPH	1.7608298374411615
TRHDE-AS1	1.7607179038251852
LAMA2	1.7579627502299615
DMKN	1.7550978019232453
CCL21	1.7548509444317495
MMP12	1.7544583595342724
PTPRD	1.7532613334816747
GATM	1.7529880978105594
SERF1A	1.7483022627735625
SCNN1A	1.7473924592167331
TMEM178B	1.7456550370596908
GOLGA8A	1.743964244101734
COL1A2	1.7421977075946955
COL5A1	1.7415097509047845
SCN9A	1.7401308807932303
CCDC8	1.7395122714327378
FXYD2	1.7391891624037086
TFCP2L1	1.7377522148996891
PPP2R2C	1.7374480938345587
SLC7A2	1.73726001912607
SLC15A1	1.7371436158860742
ACAN	1.7361672897289973
CHST9	1.735737624222128
CMYA5	1.7347227559613343
PADI1	1.7332325750393056
CDH16	1.7313378076469579
FOLH1	1.7312533195708721
ANPEP	1.7299304995341178
TENM2	1.7290167115081445
FAM83F	1.7280389276166197
SORCS2	1.7270138109027884
CPXM2	1.7252538149584127
SPON2	1.7247490611896674
MMRN1	1.7242457739922357
GDF6	1.7240457605360404
KISS1R	1.7237823558783871
PRSS8	1.7234586261540554
EFNA5	1.7225367266646643
LINC00925	1.7224645673351258
SERPINF2	1.7224204477671945
SCIN	1.720415285036241
SLC2A5	1.7197817400664936
DCDC2	1.7192952296776403
TTTY15	1.7184023177071233
CCDC80	1.7182484076760962
LINC01127	1.7174475938063953
HS3ST2	1.7167640492104501
MFAP4	1.7165329107825416
ACADL	1.7157587579948004
CADM3	1.7157042897093768
C2CD4A	1.7155283388679925
TMEM252	1.7154704292454728
EGLN3	1.7152440253880223
GPR37	1.7143183054626054
ITGB6	1.7131204998102547
FAM101A	1.7115851113168334
L1CAM	1.709652147315222
EPS8L3	1.7079280043482257
AKR7A3	1.7077049003890077
C2	1.703022445096601
PAPPA2	1.7023302702781773
EFEMP1	1.701772233108185
COL16A1	1.6990566172446886
SLC38A5	1.6988665615833176
CXCL1	1.697229233970937
ISLR	1.6959920485920514
TDRD9	1.6954666058610117
AIF1L	1.6942491449427322
CXCL11	1.6933465027769792
STEAP3	1.6932955129622502
ABCA8	1.692908421423514
ARSE	1.6923397684291714
KMO	1.6923154934414153
ERAP2	1.6921706636408946
ACMSD	1.6914332606104243
C19orf80	1.6898338539948166
DNAJB13	1.6878711963336697
SLCO4C1	1.6876594768566586
PLVAP	1.6872838903459502
DOC2A	1.686400690852425
GREM1	1.6863689743802805
PAX2	1.6861581380644166
PSAT1	1.6860609369972233
PPP1R14D	1.6852765900647475
CTSE	1.6812637304001952
LOC145837	1.6808374085529012
CREB3L3	1.6794564298198635
ATP2B2	1.6790700614211982
CGN	1.6775854906949668
KDR	1.6775081042667834
LIPC	1.6772980646473712
TEX11	1.67719588175689
CLSTN2	1.6768671111365614
CDR1	1.6754123057828891
MAL2	1.6752004083203997
EGR1	1.675140881623082
IGF2BP3	1.6747896482666593
IGF2BP1	1.6744167176089237
MDK	1.6740670853322854
MT1X	1.6722852745698977
APLNR	1.671187310802801
SPP1	1.6702883869119054
FMOD	1.6687245791812015
TRPM3	1.6671266887537117
ELN	1.666840919664696
CES4A	1.6665023712263052
CPEB1	1.6651069440553232
LOC101929335	1.6627544477782172
MTRNR2L9	1.661634996487467
AFF2	1.6614486539594782
CDH17	1.659438656128155
ADORA2A	1.6584278803661547
BCHE	1.6575321486656303
IGFBP3	1.6573794401750084
LEFTY1	1.6569906821263163
LRRTM4	1.6565848867379394
SPECC1L-ADORA2A	1.65651066704211
C19orf33	1.6564854744775086
SERPINA1	1.6556565409105248
KNDC1	1.655518084850196
ABCC2	1.6541209424595371
ASXL3	1.652954640009919
CDCP1	1.6508827002648545
MZB1	1.6502173503225874
HRNR	1.6496859365204815
SVEP1	1.6484869485870053
ITIH4	1.6481361276125124
SLC26A9	1.6472095604312196
ALDH1A1	1.6468946735128915
KCNK9	1.6457866048266339
LOC101927378	1.645557271174131
PLTP	1.6450240498231106
PHYHIPL	1.6449448581739556
SLITRK2	1.6447804038001854
PCDHA4	1.6446609293154306
PTGS1	1.6441692187860173
CHI3L2	1.643767912756795
CLDN7	1.6436204739867564
ALDOC	1.6429578907657094
TACSTD2	1.6420798962654466
FABP3	1.6406416671190054
SLC7A5	1.6405079165751213
NPY6R	1.6403445052700707
ABI3BP	1.6391988177853236
GPX3	1.638903427194817
FOS	1.6366575010372484
EDIL3	1.6356527915094716
ARG2	1.6349200607769925
LYG1	1.6332641423662597
CXorf22	1.6331710571734188
CLRN3	1.633121352389273
SYBU	1.6325437271966774
MUC20	1.630784041428855
COL21A1	1.630608563173126
SYT9	1.6305199176907157
HPN	1.6303752680195074
SLC38A4	1.6294034330362148
ROR2	1.6293705254631312
FLG	1.6288662396428806
PCDHB2	1.6287280503575128
SPX	1.626952421353112
SRPX2	1.6255436508605874
C4B	1.6253741003081
C4B_2	1.6253741003081
SLC22A7	1.6250272562585502
MACC1	1.6243541795281802
CAPN3	1.6237904817876931
HBA2	1.6233608865974296
IGLL1	1.6233163271466082
CRTAC1	1.6230471579631172
CNTNAP3P2	1.6224605156229166
NDUFC2-KCTD14	1.6221560612756527
IP6K3	1.6217924739546477
GUCY1B2	1.621306947836304
TMED6	1.6206763245551778
TRIM54	1.6199444580655065
MUC1	1.6198714619083454
COLEC12	1.619830450442138
ZBTB7C	1.6192765340135413
PDZK1	1.618439981758998
DPEP1	1.617958263443099
PREX2	1.6178087364882803
SFN	1.6167820209047736
LINC01279	1.616434592090651
PTN	1.615016275205895
SPARCL1	1.6149692709415016
AHNAK2	1.6138304447017733
SEMA3D	1.6126961595885188
RCAN2	1.6120005103135633
PRUNE2	1.6109363959024015
PTPN20B	1.6097507735219905
VWCE	1.6095554297731258
EYA1	1.606820731173202
BAAT	1.6066581241921754
SUCNR1	1.604866975397963
VEGFA	1.604815129234791
ITGBL1	1.6028554843438818
MACROD2	1.600661190948832
MTRNR2L8	1.6003683438636631
CLMP	1.600208999435881
IL12RB2	1.5999754480594384
ANO5	1.5995150444250394
ANK2	1.5987415377269516
FBXL16	1.598403772034905
IRF6	1.5983720484785995
SERPINA5	1.5981640268828012
TNXB	1.597415085267731
ZBTB16	1.5965404919893567
LOC102724550	1.596526222685445
COL14A1	1.5964431432209631
CHI3L1	1.5960485958866462
MAGED4	1.5955492254844303
CD8B	1.5931803755168494
BTBD11	1.5923190785984607
MT1G	1.5922173380002185
TTLL6	1.592052418664744
APOC1	1.5917564818329402
ATF3	1.5909746406230147
MST1L	1.5904540805741494
CHL1	1.5894140838677169
MGAT3	1.5887091817779317
ACAD11	1.5883213913731082
RAMP3	1.5874091689640037
F13A1	1.5872890136284852
ENPEP	1.5872632997925074
GIPC2	1.5852530951353323
ANKRD30BL	1.584998060361854
CNTN1	1.5847099056895662
DLL1	1.5838560502963637
ADAM12	1.583171881084895
TLL1	1.5828303101101544
EPHA6	1.582672998055208
MGP	1.5823095346416638
CD36	1.5822589502064217
PCSK1N	1.5819928122737108
ADSSL1	1.5819457762013236
NR4A1	1.5819277171352981
CD8A	1.5815240106158732
IL17RB	1.5811293913672586
TM4SF4	1.5810399493140674
HLA-DRB6	1.5800190767262061
WFDC2	1.5797404510865762
G0S2	1.5793540892791922
TUBB4A	1.5790660129576368
SULT1C2	1.5786004617993874
MYO7B	1.577615177039773
F3	1.5771752759975743
GLDC	1.5767110516091436
CFH	1.5762920384050136
ANO4	1.5753942452780252
ZFHX4	1.5736421382961188
SV2B	1.5731473172831096
APOM	1.572743188926035
SCARNA5	1.5723571982130673
CYP2C9	1.5720514054872952
DNAH5	1.57118065318595
DCHS2	1.5706247637587152
CYP8B1	1.5704039592275905
LAMA1	1.570376688790572
APOLD1	1.5695986998449813
IL1R2	1.5695571121506264
PTPRN	1.567173326353626
CD5L	1.5667349407479538
FOLR1	1.5665873325732576
LIME1	1.5658080672220989
VWF	1.5649767104555727
BLOC1S5-TXNDC5	1.5643755834585962
OPCML	1.5620290176319793
XDH	1.5596773357104945
ACKR1	1.5595516117656536
IGLON5	1.559448060061054
LINC00942	1.5592152622877409
UGT1A7	1.558970392059095
CRYAB	1.5589279847175967
ADCY5	1.5587853409648775
CLEC3B	1.5585740793026075
LTBP4	1.5584367292698649
CPN2	1.557536598229087
MOCOS	1.557472162278932
ITIH3	1.5574718171038775
OLFM1	1.5572797935803673
LRRC19	1.5569550194688224
APLN	1.5569291488672634
CSDC2	1.5564626306653166
DIRAS2	1.5544125207085921
VANGL2	1.553952351688813
EDN1	1.5535694324888873
AMBP	1.5526172170159673
HILPDA	1.5512733756139263
CNTN3	1.5499884458098234
FAM65C	1.5499493724487894
SLC47A2	1.5486471109695
WDR72	1.5484515832496908
CLDN1	1.5479939331757404
FAM135B	1.5474223984084639
SLC6A18	1.5467693164432639
PRODH2	1.546440549596599
SLITRK5	1.5456808847018404
ZNF208	1.5446890326002949
PCDH17	1.5417706564246145
LIPG	1.5414201579086593
C14orf132	1.5400446162977854
NRCAM	1.5398301099558376
HLF	1.5389101854952447
CDH13	1.538411453360682
QPCT	1.538286948381282
FBN2	1.537984333967146
BARX2	1.5378117512651148
STK33	1.537401663038363
ESRRG	1.5373439477189845
IGLL3P	1.536363797683742
SLC30A2	1.5360919153509964
PEG10	1.5355884455959352
REG3G	1.535314246850002
NRN1	1.534779128502083
GCNT3	1.53474248010018
PCDHGB1	1.5340980867204816
ANK3	1.534035967799033
MISP	1.5328647431415268
CALCR	1.532650899874603
PKD1L2	1.531435158119539
DDIT4L	1.5302282050749152
B4GALNT4	1.5291932134482629
IGFBP5	1.528189053540026
OLFML2A	1.5279867983230442
EDNRB	1.5263533292647702
TMEM72	1.5263372812092653
PCDHGB5	1.5262654381447291
SOX11	1.5260179062503423
SEMA3C	1.5239644317277465
TMEM45A	1.5237252332283029
ST8SIA6	1.5236326292021887
LRRN4	1.523349394187811
PNMAL1	1.5232168062764244
NR4A3	1.5227986661032669
CLDN4	1.5221453319987666
SNCG	1.519273905921926
CHGB	1.518383241501012
GRIN2B	1.5181018075565904
STC1	1.5178389248074675
DIO2	1.5173642101832812
TMEM132E	1.516627328441548
INHBE	1.5162464918415377
ZNF385B	1.516239310384754
MOXD1	1.5159639877214952
TMEM91	1.5150632790905252
FGF11	1.514042511761603
MLXIPL	1.5126354134351576
SERPINE2	1.512378807040981
ASPA	1.5121403376925497
FRAS1	1.511706462885772
TMEM125	1.5106496351951006
CCDC64B	1.5106217910933746
PDZD2	1.5091415409860611
GALNT9	1.5090767796393163
BMPR1B	1.5075357872184036
AGT	1.5071655962391002
ABCC6	1.5071445825176346
KCNJ16	1.506856087327727
PDZK1IP1	1.5068545860081677
MEGF11	1.5068475286524345
PRELP	1.5061404003472547
SLC4A4	1.5048897837457806
EMCN	1.5047564003795066
VTN	1.5038287055558246
GPT	1.5037903373987458
CXCL2	1.503686021056632
PROM2	1.5033242255754125
SRGAP2C	1.5030041501435998
C4A	1.5025270509788637
ADAMDEC1	1.501633894545217
SLC6A20	1.5014260186400574
FAM153A	1.5013301214348906
ABCB5	1.5004443153081652
WISP2	1.5003177265502416
SCO2	1.4998910334161064
CPS1	1.499742025814762
EMX2	1.499731365997926
FXYD1	1.498858365477263
DCLK1	1.4987893009429942
DGCR5	1.498591971381829
FCN3	1.498538413945111
CX3CR1	1.4978653166187852
SLCO2A1	1.4974231618779774
CNN1	1.4960225130901232
ATP8B3	1.4951745174279316
PLCB4	1.4948661981898956
SHROOM3	1.493425342398785
RERG	1.4933350665176144
ABCA12	1.492870462407048
CLDN10	1.4926576618432517
SBSPON	1.4917791670513478
GREB1L	1.4914895347796102
PCDH20	1.491392233301826
PNMA3	1.4911974781673663
TNFRSF11B	1.4901598640298348
WT1	1.48999896586029
NEFM	1.489420725622039
FABP6	1.4892881578674553
WBSCR17	1.4892577043248791
IGF2BP2	1.4883086689469143
NR2F1	1.4875864080633798
NOX4	1.487331144992229
FOXP2	1.4870173266351345
ATHL1	1.486444598950022
AMZ1	1.4860574291559199
LGALS12	1.4858826916801122
COL8A1	1.4852874191202303
TEX41	1.4848502151556977
BGN	1.4840558345077977
FER1L4	1.4838941206484437
FKBP10	1.4838582111676986
LTBP2	1.4833835904247263
KCP	1.483298490310152
FHL1	1.4828879421960552
MRC1	1.4825073421500954
NTM	1.4821556061645305
USP32P1	1.4821133704188965
EPCAM	1.4810950894871435
TRNP1	1.4810220445293458
FLT1	1.4805905838130298
KIAA1644	1.4801516975480864
SMOC2	1.4794892761057872
FNDC1	1.4773651913427353
MFSD2A	1.4770087890319876
LIF	1.4768192285190422
KCNIP3	1.4762891566756833
BDKRB2	1.4762604768101961
KL	1.476202423798105
UGT1A8	1.4760618444314018
MAOA	1.4745052681806727
ACSM5	1.4742567373610107
LOXL2	1.4720909748915323
NEBL	1.4716823229438742
TENM4	1.4710154719474755
LIX1	1.4699763612244985
TIPARP	1.4696804435460713
PERM1	1.4689732729594183
IFI27	1.4685728413725097
PTGDS	1.4682592772815746
NTN4	1.468108880755283
CTGF	1.4672927719770292
RPSAP58	1.4664745981832923
GSTP1	1.4658398093742944
CAPN12	1.4652642715521014
CCDC144A	1.4649692825402423
ITGA11	1.4648298329646645
ZNF521	1.4637569217269468
SPINK1	1.4632419732961979
EGF	1.4631673469477897
WNK4	1.463125964480941
PRRX1	1.4629099694290582
ACTG2	1.4626607914188774
ANGPT2	1.4620832867475069
PRR15L	1.4609366598740388
JPH2	1.4606132086978112
ELTD1	1.460445540435923
AMACR	1.4597487971801575
ALOX15B	1.458754384170608
PRLR	1.4584463095109637
PPAP2C	1.4583162467129296
INHBB	1.4579860527287112
SLC7A9	1.457752959280485
LCN2	1.4577216510920545
HLA-DQA1	1.4574979204488185
ALPK2	1.4574705609177994
ENPP7	1.456657947895994
PCDHGB4	1.455841192063053
DMGDH	1.4556624343522382
KCND3	1.4548597910752294
DYX1C1-CCPG1	1.4541036748469929
PPFIA4	1.4538259217957537
LOC100422737	1.4537752090605143
ARHGEF38	1.4530245806389148
GABRE	1.4528863132038516
LOC100130705	1.4527863109189314
DLL4	1.4520117312007383
MRC2	1.4519344616706473
NFASC	1.4519106622496802
TUB	1.4510495768988638
TNC	1.4502152955180836
ILDR2	1.4499804772016867
TFPI	1.4490589251019905
SELE	1.4475461890111438
GPR126	1.447458063017764
EEF1E1-BLOC1S5	1.4474559279967198
PTGS2	1.4474377857905127
C5orf27	1.4473785510938693
HSF4	1.4461584665706388
KCNJ3	1.4461569108479067
UNC93A	1.4457805170693667
SCARNA6	1.4451674287512706
PCDHA12	1.4444732124547606
MEST	1.4443678721398328
ITGB4	1.4442833107953148
ADCY2	1.4442135770026978
COMP	1.4437237751481242
SMIM3	1.443047632395279
TMEM139	1.4430145672560206
KLHDC7A	1.4429824598168826
RGS1	1.4428660787119096
CCL28	1.4424211759445553
PLCXD3	1.4420939285250831
C1QTNF3-AMACR	1.4417549363944848
CES3	1.4416247157290079
SLITRK4	1.4395344661079452
ANO3	1.4394716103711922
ALPK3	1.439463008707014
TAGLN	1.439274865068369
EPS8L1	1.4392689002040764
COL6A2	1.4390973594947498
IL7R	1.4387744711923265
CLEC14A	1.4387559754671466
KLB	1.4386278959861962
CTAGE9	1.4386078304176837
HBA1	1.4385373170710694
GPR35	1.4376105917751048
VCAM1	1.4372017451442562
PIEZO2	1.435875331613029
CHDC2	1.4358704350490223
PCDHA11	1.4357081502598996
SLC4A3	1.435449255570437
LEPREL2	1.435406218433595
FKBP5	1.4350002730243834
COL5A3	1.433613546921293
CXCL13	1.4330363549278242
SLC6A12	1.4326518793639487
CPA3	1.4324947518131417
GPR64	1.432117981419707
FBLN2	1.4317772635349284
SH3RF2	1.4316765154313946
GBP5	1.4310124261014643
MXRA5	1.430632936959144
PODN	1.4294611216656399
KCNB1	1.428849542905274
GULP1	1.4287672293036242
FAM153B	1.4285080183015773
PLA2G7	1.427786888892324
CDRT4	1.4274916274494653
VCAN	1.4272298226604385
RTEL1-TNFRSF6B	1.427124721043989
LOC344887	1.42582056903045
CD163	1.4250741103179785
ANKRD20A12P	1.4250365130398661
LAMC2	1.424011084080375
ERRFI1	1.4238481886824006
PRKG2	1.4237399113086018
SCN4B	1.4233078927652316
ID4	1.423214683676351
CXCR2P1	1.4230925537771195
CKMT2	1.4230698281443466
IGFBP2	1.422466464056183
FBLN1	1.4224504338315795
KCTD16	1.4221578213010266
CPZ	1.422138521815528
CD27	1.4219145242430091
MEG3	1.4215391157338169
GJA5	1.421273542040162
F11	1.4210781067748415
PLIN2	1.420692331175635
TMEM176A	1.4205221629084763
LPL	1.4199656809751806
C1QL4	1.4199518112601084
ADAMTS2	1.4195874125699932
CLGN	1.4193504004939927
CYB5A	1.4192912614510733
